0 -0.28284785 -0.021537725 9.988125 47 31 17
10 -0.27567536 -0.04920311 10.075219 150 118 45
20 -0.27055213 -0.0030941358 9.932794 49 31 23
30 -0.22649245 -0.14859356 10.128501 95 44 0
40 -0.28592178 -0.018463794 9.989149 44 31 19
50 -0.2562071 -0.034858096 9.966607 150 125 54
60 -0.27772462 -0.037932027 10.022963 142 115 63
70 -0.28489715 -0.0061680675 9.94099 114 78 47
80 -0.3002668 -0.0071927113 9.963533 85 56 24
90 -0.2695275 -0.024611657 9.957385 157 131 53
100 -0.2746507 -0.042030603 10.026036 112 86 46
110 -0.291045 -0.036907382 10.062923 162 126 42
120 -0.28592178 -0.0256363 10.027061 140 110 49
130 -0.25518247 -0.038956672 10.104934 11 9 11
140 -0.30334073 -0.019488437 10.052677 151 120 54
150 -0.30129144 -0.01743915 10.1131315 141 105 40
160 -0.28182322 -0.027685588 10.023987 129 98 48
170 -0.26440427 -0.052277043 10.017839 151 126 73
180 -0.29411894 -0.042030603 10.078293 188 156 80
190 -0.28694645 -0.039981317 10.111082 147 113 43
200 -0.30129144 -0.01743915 10.047554 160 126 55
210 -0.28079855 -0.04612918 10.056776 151 120 49
220 -0.23673888 -0.068671346 10.009642 18 9 7
230 -0.30129144 -0.016414506 10.118255 141 105 40
240 -0.29719287 -0.029734876 10.102884 151 115 44
250 -0.28284785 -0.027685588 10.028086 124 93 39
260 -0.27567536 -0.039981317 10.026036 138 113 66
270 -0.23264031 -0.0676467 10.030135 15 5 5
280 -0.26440427 -0.042030603 10.108007 17 10 10
290 -0.24391139 -0.044079892 9.968657 120 94 55
300 -0.29002038 -0.021537725 10.027061 122 92 39
310 -0.25210854 -0.048178468 10.085465 23 13 7
320 -0.26235497 -0.04920311 10.054727 103 72 27
330 -0.29411894 -0.013340575 9.975829 41 19 4
340 -0.28592178 -0.021537725 9.97173 83 59 31
350 -0.2398128 -0.04920311 10.062923 13 11 10
360 -0.31051323 -0.0030941358 10.082392 61 38 18
370 -0.24698532 -0.045104533 9.9819765 56 41 26
380 -0.26850283 -0.042030603 10.111082 23 11 6
390 -0.26850283 -0.048178468 10.041406 135 105 52
400 -0.2982175 -0.012315931 9.964558 119 86 46
410 -0.27977392 -0.023587013 9.992223 83 64 37
420 -0.24698532 -0.062523484 10.003494 104 75 33
430 -0.23366494 -0.07481921 10.014766 23 13 5
440 -0.26850283 -0.04612918 10.020913 155 133 89
450 -0.26235497 -0.037932027 9.999395 143 121 79
460 -0.2418621 -0.062523484 9.997346 52 33 18
470 -0.23571424 -0.050227754 9.976853 87 69 43
480 -0.29616824 -0.019488437 10.129525 153 123 47
490 -0.30436537 -0.019488437 10.099811 124 89 29
500 -0.28592178 -0.038956672 10.04448 142 115 63
510 -0.22444315 -0.04612918 9.95841 109 88 54
520 -0.27977392 -0.032808807 10.028086 145 115 65
530 -0.28592178 -0.036907382 10.116205 145 107 35
540 -0.27055213 -0.043055248 10.026036 127 105 64
550 -0.29514357 -0.03383345 10.098786 153 120 44
560 -0.23059101 -0.047153823 10.0813675 11 10 10
570 -0.23264031 -0.073794566 9.999395 84 65 35
580 -0.29514357 -0.016414506 10.034233 161 129 51
590 -0.2398128 -0.047153823 10.07112 12 10 11
600 -0.25518247 -0.043055248 10.094687 37 27 19
610 -0.23161566 -0.0071927113 9.916399 163 138 88
620 -0.23673888 -0.07174528 10.018864 17 13 12
630 -0.24083745 -0.070720635 10.0045185 66 49 30
640 -0.25723177 -0.016414506 9.944065 118 91 40
650 -0.30129144 -0.023587013 10.05985 157 123 51
660 -0.27055213 -0.038956672 10.120303 7 6 9
670 -0.22956638 -0.08916422 10.125427 69 50 37
680 -0.29514357 -0.0041187797 9.9871 38 23 11
690 -0.30436537 -0.002069492 9.955336 121 81 44
700 -0.23878817 -0.055350974 10.040381 28 16 5
710 -0.27157676 -0.042030603 10.031159 144 119 69
720 -0.29719287 -0.029734876 10.106983 143 103 31
730 -0.2746507 -0.037932027 10.01579 142 116 68
740 -0.2982175 -0.02256237 10.053701 184 143 60
750 -0.3094886 -0.0071927113 10.055751 139 108 49
760 -0.2254678 -0.07994243 10.016814 151 117 65
770 -0.22649245 -0.024611657 9.932794 96 64 23
780 -0.28489715 -0.020513082 9.968657 95 59 27
790 -0.30129144 -0.0061680675 9.954311 111 77 29
800 -0.2562071 -0.014365219 9.942016 92 65 28
810 -0.28797108 -0.037932027 10.055751 154 117 39
820 -0.27977392 -0.04612918 10.051653 143 112 46
830 -0.23264031 -0.036907382 9.952262 54 40 22
840 -0.24903461 -0.053301685 9.995297 138 111 55
850 -0.29616824 -0.03383345 10.053701 153 117 53
860 -0.26337963 -0.010266643 9.938942 78 55 39
870 -0.2982175 -0.0256363 10.122353 151 115 49
880 -0.25313318 -0.042030603 9.97378 114 88 51
890 -0.2889957 -0.009241999 9.998371 104 81 46
900 -0.22956638 -0.047153823 9.966607 71 57 38
910 -0.28797108 -0.023587013 9.967631 179 151 84
920 -0.23776352 -0.065597415 10.022963 22 15 11
930 -0.24903461 -0.045104533 9.975829 91 70 41
940 -0.29002038 -0.014365219 9.9871 48 32 16
950 -0.2838725 -0.044079892 10.070096 182 153 68
960 -0.2346896 -0.023587013 9.938942 112 84 44
970 -0.2654289 -0.036907382 9.999395 132 109 68
980 -0.27260143 -0.04612918 10.032185 101 76 41
990 -0.27567536 -0.042030603 10.102884 106 77 30
1000 -0.3023161 -0.02256237 10.104934 147 112 44
1010 -0.24083745 -0.044079892 10.121328 13 13 13
1020 -0.27772462 -0.026660945 9.977878 38 17 7
1030 -0.30334073 -0.0153898625 10.055751 178 144 57
1040 -0.28592178 -0.038956672 10.048578 152 116 49
1050 -0.2603057 -0.026660945 9.956361 153 129 53
1060 -0.27772462 -0.05432633 10.048578 165 141 78
1070 -0.27362606 -0.0153898625 9.947139 152 119 46
1080 -0.24596068 -0.044079892 10.094687 51 36 19
1090 -0.3115379 -0.0030941358 10.062923 152 123 64
1100 -0.26337963 -0.036907382 9.998371 134 113 71
1110 -0.25005925 -0.044079892 10.094687 82 60 39
1120 -0.2674782 -0.038956672 10.120303 31 22 20
1130 -0.27157676 -0.03075952 9.970706 145 115 53
1140 -0.3002668 -0.029734876 10.0813675 158 124 51
1150 -0.30129144 -0.016414506 10.114156 130 92 34
1160 -0.2982175 -0.002069492 9.945089 118 99 74
1170 -0.23571424 -0.010266643 9.922547 118 91 45
1180 -0.26440427 -0.048178468 10.017839 130 103 56
1190 -0.25518247 -0.05944955 10.017839 144 121 66
