0; 0; 0; 
0; 0; 0; 
0; 0; 0; 
0; 0; 0; 
0; 0; 0; 
0; 0; 0; 
0.0266434; 0; 0; 
0; 0; 0; 
0.0299738; 0; 0; 
0; 0; 0; 
0.00429063; 0.00637213; 0.00617068; 
0.00803006; 0.00519281; 0.00316656; 
0.00440839; 0.00537454; 0.00283279; 
0.00377173; 0.00535795; 0.003441; 
0.000551356; 0.00527049; 0.0049278; 
0.000408777; 0.00242661; 0.0102733; 
0.000522832; 0.0016556; 0.0190325; 
0.000991232; 0.00203528; 0.0253399; 
0.00219461; 0.00311654; 0.0301161; 
0.00526197; 0.00516806; 0.0338885; 
0.00827707; 0.011303; 0.0376308; 
0.0110586; 0.0243656; 0.0414177; 
0.0134961; 0.0308922; 0.044953; 
0.0158721; 0.0364099; 0.0485195; 
0.0189751; 0.0408969; 0.0517019; 
0.0221823; 0.0461806; 0.0542663; 
0.0255151; 0.0520074; 0.0566887; 
0.0287851; 0.0560754; 0.0600369; 
0.0320192; 0.0605293; 0.0627194; 
0.0353516; 0.0646736; 0.066895; 
0.0390629; 0.0691393; 0.0701953; 
0.04331; 0.0738991; 0.0746181; 
0.0478215; 0.0788526; 0.0809519; 
0.052371; 0.0835228; 0.0865021; 
0.0567787; 0.0889786; 0.0916962; 
0.0607204; 0.0943359; 0.0974911; 
0.0649192; 0.0998339; 0.101757; 
0.0690459; 0.104998; 0.105868; 
0.0735385; 0.109734; 0.109706; 
0.0783476; 0.114471; 0.112669; 
0.0835616; 0.118803; 0.115984; 
0.0893148; 0.123359; 0.118791; 
0.0949277; 0.128654; 0.122595; 
0.10105; 0.13348; 0.127866; 
0.107075; 0.139698; 0.134389; 
0.112611; 0.145209; 0.13914; 
0.117715; 0.150376; 0.144641; 
0.122277; 0.15641; 0.151597; 
0.127581; 0.161975; 0.160224; 
0.1331; 0.169263; 0.169548; 
0.138831; 0.176319; 0.178392; 
0.14445; 0.184986; 0.186958; 
0.151124; 0.192429; 0.194821; 
0.158174; 0.199255; 0.201676; 
0.165843; 0.205791; 0.207731; 
0.174336; 0.213457; 0.212438; 
0.182382; 0.218751; 0.217715; 
0.190489; 0.224164; 0.221792; 
